1  core   0: >>>>  
350  core   0: 0x0000083c (0x00c6a023) sw      a2, 0(a3)
351  core   0: 0x00000840 (0x02078693) addi    a3, a5, 32
352  core   0: 0x00000844 (0x00269693) slli    a3, a3, 2
353  core   0: 0x00000848 (0x00d70733) add     a4, a4, a3
354  core   0: 0x0000084c (0x00c72023) sw      a2, 0(a4)
355  core   0: 0x00000850 (0x00178793) addi    a5, a5, 1
356  core   0: 0x00000854 (0xfcb79ce3) bne     a5, a1, pc - 40
357  core   0: 0x0000082c (0x00050713) mv      a4, a0
358  core   0: 0x00000830 (0x00279693) slli    a3, a5, 2
359  core   0: 0x00000834 (0x00d706b3) add     a3, a4, a3
360  core   0: 0x00000838 (0x5b000613) li      a2, 1456
361  core   0: 0x0000083c (0x00c6a023) sw      a2, 0(a3)
362  core   0: 0x00000840 (0x02078693) addi    a3, a5, 32
363  core   0: 0x00000844 (0x00269693) slli    a3, a3, 2
364  core   0: 0x00000848 (0x00d70733) add     a4, a4, a3
365  core   0: 0x0000084c (0x00c72023) sw      a2, 0(a4)
366  core   0: 0x00000850 (0x00178793) addi    a5, a5, 1
367  core   0: 0x00000854 (0xfcb79ce3) bne     a5, a1, pc - 40
368  core   0: 0x0000082c (0x00050713) mv      a4, a0
369  core   0: 0x00000830 (0x00279693) slli    a3, a5, 2
